time,survived,wpm,score
10/18/2021 20:19:46,16.206162,3,1
10/18/2021 20:23:14,1.979479,0,0
10/18/2021 20:23:37,13.613679,48,11
10/18/2021 20:24:42,9.608362,62,10
10/18/2021 20:27:46,2.015543,0,0
10/18/2021 20:27:48,3.487464,0,0
10/18/2021 20:27:49,5.011563,0,0
10/18/2021 20:27:50,6.008621,0,0
10/18/2021 20:28:00,16.353837,0,0
10/18/2021 20:28:21,37.33437,0,0
10/18/2021 20:28:52,67.567126,0,0
10/18/2021 20:29:25,1.608944,0,0
10/18/2021 20:29:26,2.612863,0,0
10/18/2021 20:29:27,4.032344,0,0
10/18/2021 20:29:28,4.644813,0,0
10/18/2021 20:33:05,16.298579,0,0
10/18/2021 20:33:18,2.183,0,0
10/18/2021 20:33:26,0.772,0,0
10/18/2021 20:33:37,7.946,52,7
10/18/2021 20:46:40,54.721,67,62
